name,image_local_path,lat,lng
L'eau Restaurant & Café – Kha Vạn Cân,images/restaurant/L'eau Restaurant & Café – Kha Vạn Cân/cover.jpg,10.83624587742593, 106.73007903852216
Quán Canh Ngon - Đội Cung,images/restaurant/Quán Canh Ngon - Đội Cung/cover.jpg,10.764000460199336, 106.64681572502744
Khao Lao - Landmark 81,images/restaurant/Khao Lao - Landmark 81/cover.jpg,10.794951806291401, 106.72185298085122
Quán Anh Ba - Vạn Kiếp,images/restaurant/Quán Anh Ba - Vạn Kiếp/cover.jpg,10.796799750900302, 106.69370449988664
Tràng An Quán - Đường 47,images/restaurant/Tràng An Quán - Đường 47/cover.jpg,10.741980101889615, 106.71235160968602
Bếp Thái Koh Yam - Hồ Tùng Mậu,images/restaurant/Bếp Thái Koh Yam - Hồ Tùng Mậu/cover.jpg,10.772815784483587, 106.70327962318034
Ốc Sữa 2 - Điện Biên Phủ,images/restaurant/Ốc Sữa 2 - Điện Biên Phủ/cover.jpg,10.802014325254515, 106.71213025386305
Quán Chị Dậu - Nguyễn Trọng Tuyển,images/restaurant/Quán Chị Dậu - Nguyễn Trọng Tuyển/cover.jpg,10.798938327308136, 106.66470065201597
BA GÁC - Quang Trung,images/restaurant/BA GÁC - Quang Trung/cover.jpg,10.827308070499582, 106.67948643852206
Sushi Tokyo Town - Dương Đình Hội,images/restaurant/Sushi Tokyo Town - Dương Đình Hội/cover.jpg,10.817914952806309, 106.7759570250279
Bếp Thái Koh Yam - Bà Huyện Thanh Quan,images/restaurant/Bếp Thái Koh Yam - Bà Huyện Thanh Quan/cover.jpg,10.776829404351394, 106.68868576735696
Chang - Võ Văn Ngân,images/restaurant/Chang - Võ Văn Ngân/cover.jpg,10.8497368080412, 106.76991432502814
Sanité - Nhà hàng chay - Trương Quốc Dung,images/restaurant/Sanité - Nhà hàng chay - Trương Quốc Dung/cover.jpg,10.79713984522845, 106.67242762318067
Hoa Viên Karaoke – Phổ Quang,images/restaurant/Hoa Viên Karaoke – Phổ Quang/cover.jpg,10.803654288686824, 106.66653261480381
Cơm Tấm Thuận Kiều - Út Tịch,images/restaurant/Cơm Tấm Thuận Kiều - Út Tịch/cover.jpg,10.79618486189802, 106.65889962502777
Hoàng Ty - Trần Văn Giàu,images/restaurant/Hoàng Ty - Trần Văn Giàu/cover.jpg,10.751993541992226, 106.60736296550965
Lẩu Nướng Mini Candy - Nguyễn Văn Đậu,images/restaurant/Lẩu Nướng Mini Candy - Nguyễn Văn Đậu/cover.jpg,10.814746181739633, 106.69384021721713
XieXìe Hotpot Dimsum - Cộng Hòa,images/restaurant/XieXìe Hotpot Dimsum - Cộng Hòa/cover.jpg,10.802796069905083, 106.64078519619251
V-Senses Dining - Menas Mall Saigon Airport,images/restaurant/V-Senses Dining - Menas Mall Saigon Airport/cover.jpg,10.813163932838103, 106.66569009619245
Matsuri Japanese Restaurant - Nguyễn Huệ,images/restaurant/Matsuri Japanese Restaurant - Nguyễn Huệ/cover.jpg,10.771764927075708, 106.70591338269806
