segment_id,time_window,avg_vehicles,std_vehicles,min_vehicles,max_vehicles,sample_count,avg_cars,avg_motorcycles,avg_buses,avg_trucks,segment_name,lat,lon,hour,day_of_week,is_weekend,is_rush_hour
SEG_0046,2025-12-18 01:00:00,0.5,0.7071067811865476,0,1,2,0.5,0.0,0.0,0.0,,10.7695165,106.6658855,1,3,0,0
SEG_0047,2025-12-18 07:30:00,16.0,,16,16,1,0.0,15.0,0.0,1.0,,10.785824,106.641599,7,3,0,1
SEG_0048,2025-12-17 23:45:00,17.0,0.0,17,17,2,5.0,11.0,1.0,0.0,,10.798063,106.643757,23,2,0,0
SEG_0048,2025-12-18 00:45:00,2.0,,2,2,1,2.0,0.0,0.0,0.0,,10.798063,106.643757,0,3,0,0
SEG_0048,2025-12-18 01:00:00,4.0,,4,4,1,1.0,2.0,0.0,1.0,,10.798063,106.643757,1,3,0,0
SEG_0049,2025-12-17 23:45:00,24.5,6.350852961085883,19,30,4,12.0,10.5,0.5,1.5,,10.823473,106.629778,23,2,0,0
SEG_0049,2025-12-18 00:45:00,3.0,2.8284271247461903,1,5,2,2.0,0.5,0.0,0.5,,10.823473,106.629778,0,3,0,0
SEG_0049,2025-12-18 01:00:00,7.0,1.4142135623730951,6,8,2,5.5,1.0,0.0,0.5,,10.823473,106.629778,1,3,0,0
SEG_0050,2025-12-18 07:30:00,22.0,,22,22,1,7.0,15.0,0.0,0.0,,10.792666,106.699286,7,3,0,1
SEG_0051,2025-12-17 23:45:00,23.0,0.0,23,23,2,2.0,21.0,0.0,0.0,,10.77315,106.663929,23,2,0,0
SEG_0051,2025-12-18 00:45:00,3.0,,3,3,1,0.0,3.0,0.0,0.0,,10.77315,106.663929,0,3,0,0
SEG_0051,2025-12-18 01:00:00,1.0,,1,1,1,1.0,0.0,0.0,0.0,,10.77315,106.663929,1,3,0,0
